"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment"
"OS","ANKIB1","ICB_Ravi__Lung__PD-L1",-0.1436023898665,0.116788397811065,125,0.218848932086325,"Lung","PD-L1"
"OS","CYP51A1","ICB_Ravi__Lung__PD-L1",0.078421711288393,0.125579754572428,125,0.532314146319317,"Lung","PD-L1"
"OS","KRIT1","ICB_Ravi__Lung__PD-L1",-0.172365537183636,0.108486797774265,125,0.112101987596126,"Lung","PD-L1"
"OS","RAD52","ICB_Ravi__Lung__PD-L1",0.0812919720123891,0.127018139733684,125,0.522170743558066,"Lung","PD-L1"
"OS","BAD","ICB_Ravi__Lung__PD-L1",-0.0590565236224142,0.105774592233665,125,0.576622964435991,"Lung","PD-L1"
"OS","LAP3","ICB_Ravi__Lung__PD-L1",-0.0226148785326607,0.0899686546514028,125,0.801532718575466,"Lung","PD-L1"
"OS","CD99","ICB_Ravi__Lung__PD-L1",0.0404706254751609,0.105193566894591,125,0.700440956416529,"Lung","PD-L1"
"OS","HS3ST1","ICB_Ravi__Lung__PD-L1",-0.0502575344420284,0.12046617461249,125,0.67653791480284,"Lung","PD-L1"
"OS","AOC1","ICB_Ravi__Lung__PD-L1",0.0575129581347313,0.1206259086377,125,0.63351325451757,"Lung","PD-L1"
"OS","WNT16","ICB_Ravi__Lung__PD-L1",-0.104937286358737,0.117475267827116,125,0.371711898280987,"Lung","PD-L1"
"OS","HECW1","ICB_Ravi__Lung__PD-L1",-0.141344053251915,0.118079360913966,125,0.231296459894349,"Lung","PD-L1"
"OS","MAD1L1","ICB_Ravi__Lung__PD-L1",-0.0809721276968744,0.0997181865923863,125,0.416786106348502,"Lung","PD-L1"
"OS","LASP1","ICB_Ravi__Lung__PD-L1",0.0875835561025386,0.137362255381626,125,0.523727544429732,"Lung","PD-L1"
"OS","SNX11","ICB_Ravi__Lung__PD-L1",0.0850235477883341,0.130538275236701,125,0.51483322470275,"Lung","PD-L1"
"OS","TMEM176A","ICB_Ravi__Lung__PD-L1",-0.10320479687468,0.105473175807859,125,0.327830398683863,"Lung","PD-L1"
