"","P8","P9","P10","P11","P15","P16","P18","P19","P22","P28","P30","P32","P33","P36","P38","P40","P42","P43","P45","P47","P51","P54","P61","P65","P68","P72","P73","P76","P89","P90","P91","P98","P99","P100","P101","P102","P106","P113","P114","P116","P117","P120","P123","P127","P128"
"IPRES_Hugo",0.10787741756073,0.054010940817136,0.292356972350568,0.0595407642919757,0.362004351854803,0.123895870064008,0.292285678254873,0.173254441401952,0.176220733618706,0.298482681034817,-0.00256121599491553,0.27049391514368,0.0263107301465969,0.0549330068352706,0.158399110384616,0.343065486950522,0.0469703740225039,0.209985386835403,0.0632875310022716,0.187635178508785,0.28316168698335,0.405354606479282,0.372330198574068,0.218678793970788,0.129672246877751,0.260473597259472,0.147448526309983,0.0114246009680798,-0.0774250440856326,0.156075062590234,0.225689664995738,0.047656600602786,0.373052112753621,0.0202372872329893,0.0590759740931157,0.0138312085624009,0.0191813900949621,-0.0111677063580169,-0.0169736115211878,0.122843616643548,-0.00552851756436673,0.0482904228592872,0.0374756601830533,0.100198210827546,0.375243343028388
"IPS_Charoentong",-1.37477169241506,0.340905275987122,0.425752375787737,0.663762037196012,-2.19403565921695,-1.07575476371178,-1.47433951807331,-0.98031458084475,-0.997028858988225,0.565842872350639,-0.101102677683713,-0.0534316524175917,0.67985665931213,1.59149512124002,1.20759809077965,0.612875905969016,-0.164121320507925,-0.554059244385659,-0.764322571432406,0.379761472120976,-0.630316441551456,-1.67572478869223,-1.59125090325529,0.0445249247138824,1.49337649304526,-0.166565132141038,-0.799823349568364,0.157445486786228,2.14133918092269,-1.33871657920079,0.454542697626791,0.389054612153144,-0.115581332607914,1.53649804010538,1.39928367700171,-0.0887309442819553,0.0518759669225566,0.120040159713283,-0.589878874317524,-0.943353931596533,0.730155088460459,0.519171900933566,-0.254920713781599,0.856409430819645,1.56657806072416
"IPSOV_Shen",0.089333174605009,0.0543621592921692,-0.0481356958365957,0.145025594271428,0.0860140201271587,-0.0229480984689781,0.159991619680504,0.137165106090357,0.129577131916215,0.0568367471980581,0.0409008393990708,0.145602269648686,0.136950492536288,0.0324018690716588,0.0889525493667282,0.0626514756410171,0.0203081664954602,0.0955755457971175,0.0717838440138456,0.280594329828215,0.0762416039736096,0.0398972067822126,0.213544906142985,-0.102485097872357,0.150658097428358,0.0364522746030825,0.127891814254118,0.0110127741412049,0.233007184113974,0.202234671244422,0.187651656990754,0.169479829566422,0.0669206020245385,0.116443442436988,0.165348153858608,0.0734560726649732,-0.0332689768296115,0.105617655312445,0.0737911642169626,0.20459993219428,0.0888113724723406,0.239507182560995,0.166073500967093,0.128773831919222,0.117128152651737
"IRG_Ayers",0.334479055995535,-1.20061663847394,0.448841842546994,0.22998092663507,-0.625067251090925,0.327907844687599,0.0695588971077243,1.7190766719655,0.0686547560183078,-0.325347007996628,-0.59948580710696,-1.71112281380077,0.780117980399721,0.165921738345878,-0.637083853189152,-0.0176544316430987,-0.509069263245912,-0.778681370039109,-0.81213494071295,0.492782380603062,-0.786308038459222,-0.0482176623171478,-1.19176096840114,-0.0256204991310716,-1.46825120479043,-0.771655070413134,0.463707039446356,-0.28705049486222,1.47153940688568,0.0980315352099683,0.388472265648462,-0.322190289714727,0.0829189461963699,1.16659160534169,0.6360025074911,0.441047334531958,0.0211555542958808,-0.595313524070372,0.126350096070097,0.452017430746387,0.289976942430359,1.86007085092965,-0.0315568821296946,1.2603977668041,-0.651413364744852
"M1_Hwang",0.0894638445733855,-0.160140305108402,0.0265604150176959,-0.100722962024779,-0.139526185577812,0.0387121597655056,-0.128590690559505,0.291952393654325,-0.0417006270416529,0.0931008614415599,-0.0506657460735607,-0.190825754225736,0.310642825599926,0.201705857320575,-0.0854703021786668,0.0157334471508625,-0.00945064896693859,-0.330852720982116,0.0172346427764747,0.13954876541883,-0.379922365264871,0.07393713477235,-0.0426076288975488,0.12591956762796,-0.159621342567659,-0.0442972078457793,0.343723823658895,0.141290077130518,0.620077634735129,0.120921094773564,0.118406650659764,-0.121228354292944,0.127656846855858,0.341924106840757,0.272603220606219,0.095803554666722,0.011750784562356,-0.0295201303911733,0.0562105986618707,-0.088659943121779,0.26368276955465,0.378768234687452,0.0188633780199234,0.450811167492368,-0.1268252508821
"MHC-I_Liu",0.171720460541586,0.105330781764028,0.421208644129322,0.376056991224094,-0.0555332280028359,-0.107876263990954,-0.17395824369635,0.479893337571884,-0.252881867836294,-0.443254196195388,-0.367696762794422,-0.240222170398968,-0.250733909964913,0.408291750515241,0.374453657060417,0.113700207355335,-0.279371841907986,-0.148051351044985,-0.229728935533205,0.376433006147905,-0.272589701368624,0.182405826545701,-0.0695106249767773,-0.0508945527489876,-0.0310818442422166,-0.194230934339462,0.225880618335175,0.0138447645157941,0.409447222885219,-0.520106662428116,0.34077873878803,0.034065782725343,-0.215789382698955,0.380477867374871,0.327001936500347,-0.179947418250006,-0.160469649848018,-0.145201553103118,-0.118494173623404,0.0250181565820729,-0.0354101752345122,0.393622544901117,-0.106886066809206,0.361551353954153,0.0555036335975224
"MHC-II_Liu",0.138625778457185,-0.254660725570685,-0.0982827561686836,0.0635169999275116,-0.10732633970993,0.0306418808117113,-0.279825870244956,0.598890398779623,0.284807877020583,-0.282466363151196,-0.119385620067961,-0.173333156452032,0.494954413134883,0.399959246522975,-0.0673966404800194,-0.255313701462935,-0.117160593510987,-0.0684658104682637,0.0789106396031855,-0.161485228061033,-0.399595574340625,0.0656021063015341,-0.263081012731003,-0.0505624450378711,-0.00979057733108922,-0.401109601220377,-0.302085574792245,0.04708647949245,0.553835671078987,-0.0959875847888315,-0.171998724867936,0.174654619220364,0.0469746956396858,0.303627792577121,0.180740823029728,0.265339933490926,0.224974249095873,0.170593835657536,0.353547729806523,0.127419813542146,0.242881781535401,0.503678618171257,0.297351652252104,0.418651941186247,-0.163686353947732
"PassON_Du",0.244361852489908,-0.0486114630066883,-0.223248661122646,0.206883779342139,-0.231825699594106,0.235717785001315,-0.188388182329955,0.128151575129593,0.258983257080664,-0.206178863284724,0.297230422965133,-0.163338776544083,0.120069808892853,0.216754096543127,-0.0596461470098002,-0.349257879177328,0.264673926662801,0.0118691574687998,0.328749179209537,-0.122816226345749,-0.145601245909974,-0.251815088491146,-0.311830563156347,-0.10293710474614,-0.0336720572767613,-0.355866600927771,-0.171930093080275,0.351501396879559,0.213263746532226,-0.0542639333947163,-0.292834792618965,0.224543564386869,-0.207842675741825,0.0891331372065008,0.0828600830549899,0.426904333588725,0.408049836815108,0.355307160015835,0.434852571609752,-0.0504276621759467,0.431808148841934,0.114698129609058,0.361652703431186,0.121450199081022,-0.308469501108032
"PDL1_Nishino",0.537494996322879,-0.72361285646554,0.213037590757759,-0.0499716070414545,0.889267461669506,0.352975630121118,0.589145925169163,0.771720613287904,0.371947756956274,-0.380252897281475,-0.443857258136825,-0.466212379329927,-0.351910969557812,-0.36321166923658,-0.443179077890054,-0.180011357183419,-0.265190232822261,0.0122340148320206,0.523621394812374,0.589293652725144,-0.315161839863715,0.48634776010558,-0.480882942865033,0.0629687048684582,-0.726859738784783,-0.0323679727427604,0.0804290991279699,0.17717206132879,0.55867449402165,-0.110197128255051,0.0658679238108771,-0.482737298358421,-0.602089632847376,0.321459734431854,-0.662241691679512,0.295286768881317,0.221465076660988,-0.381062261181196,-0.162818362575608,0.613287904599659,-0.017035775127769,0.690842295538187,0.178822029758997,0.525837592277115,-0.617483709878969
"PredictIO_Bareche",0.168275081611691,-0.186635396982076,-0.35989284135671,0.813260282683855,-0.489060208358834,0.392955614340158,-0.229067129180329,0.588722120502272,0.191428065022393,-0.696753588320385,0.308104035775697,-0.699147174162653,0.256614048071626,0.171580074457159,-0.109301894942275,-0.712942530265413,-0.144908136478454,-0.406696148473156,0.17672628750249,0.258788728535322,-0.521536236901175,-0.722606289316383,-0.267947134356702,-0.349890420943106,-0.190502077208106,-0.884556726179037,0.398732670531107,0.198811052483448,0.958823125600178,-0.409819711313915,-0.00926558855158688,-0.184952336355035,-0.911649653753891,0.765909738527354,0.349033214772518,0.669478555379291,0.391771624391652,0.303508881986136,0.625438321309185,0.0568699662158998,0.654044658103773,0.730132969671107,0.458033510940913,0.539687926276162,-1.07763064210893
"Teff_McDermott",-0.507353288892367,-0.459513753990823,-0.398441689654848,0.502399638548863,-0.513399773967271,-0.0443433769187031,0.563599305877943,0.735076748152352,-0.0233086981239327,-0.500936655538696,0.196276047880085,-0.862288676801282,0.271473876118288,-0.603678066122752,-0.196254914556665,-0.392836839113155,0.168978152652776,-0.381508717337546,0.47173093301203,0.529425468161589,-0.214915907526854,-0.908638453191914,-0.819644731259061,-0.159181353041503,-0.507198767427912,-0.64736528206893,0.29172590085552,0.382494829698016,0.540648095508807,-0.422210828975308,0.123560785135096,-0.0997326368520921,-0.524729960204692,0.699147843284832,0.410698616425031,0.567385722652691,0.380973747855398,0.305834726764731,0.535309037683378,0.278306893175126,0.509312990856202,0.779420125071059,0.372408249231352,0.562819783968159,-0.693160317215797
"Teff-IFNG_Fehrenbacher",-0.0202386193657403,-0.524434504382953,-0.254322808276906,0.378705465886407,-0.706606686307925,0.331425952897958,-0.240811986396825,0.750569476082015,0.201648797558338,-0.535670037649221,0.19691673670775,-0.791002277904315,0.262994796816899,-0.145834689228769,0.0331497610433701,-0.471873427008963,-0.242954427370815,-0.643507972665152,0.381658606702154,0.512901954925781,-0.28024721760488,-0.702439299904014,-0.818906605922539,-0.196469248291583,-0.556322420369489,-0.744874715261951,0.257644157681405,0.540988025510541,0.631228910657802,-0.27874738300184,0.357392153042056,-0.574601366742601,-0.0415717539863392,0.736418931254398,0.479886583004273,0.503535692063655,0.161297180152264,0.292099430938941,0.551780454381375,0.340637477873644,0.513097949886103,0.809794988610481,0.543849658314351,0.477717624871503,-0.739765058645583
"TIS_Damotte",0.3318567429017,-0.640500187071139,-0.137566785126616,0.169476857029923,-0.347627767045569,0.371003299434618,-0.083644312302462,0.754004576659029,0.218625775484716,-0.29526278655529,-0.39408097491487,-0.671931129108805,0.442077754234883,-0.0595994311301755,-0.0512558495866434,-0.455272595398361,-0.414187237461002,-0.528057110986925,0.346623548946454,0.415000070003279,-0.332717653916434,-0.328381104168159,-0.681801758400634,-0.0148741418764282,-0.574166586091724,-0.688921009367981,0.442641865428616,0.344302089497611,0.638526767383029,-0.295956724773042,0.292534226194395,-0.457663846451072,-0.447782004418204,0.656824265493923,0.0945302337406008,0.475867890829934,0.345874085026214,0.290062779248817,0.497460208189913,0.49562207816821,0.32514864567276,0.707694703118421,0.480834276489771,0.535371419725569,-0.690951809114088
"TUMOR-VASCULATURE-UP_Lu",0.0557641579710057,-0.0591116098980863,0.389699624308574,-0.11771538970563,0.20782309852303,-0.336719243136018,0.280463677124702,0.268735752284961,-0.0867479889827908,-0.0319665325951798,-0.57432303478049,0.322926373069448,-0.0594045487349065,-0.136234605302145,-0.0757583255487358,0.421131101961466,-0.165308609064139,0.231757816155061,-0.328465571247278,0.257798963827933,0.120812628289484,0.545638059554377,0.420811321053401,0.17228126426963,0.283479754104838,0.235995964560873,0.333511821427521,-0.53152488346749,-0.04395997193354,0.0636598394809243,0.334543661900449,-0.365250352723347,0.491205542844062,-0.212605747093707,-0.0234972290681676,-0.528869176817653,-0.385589841166747,-0.442251178904677,-0.411216552601193,-0.0617655145011038,-0.529872221369822,-0.184893922243067,-0.37011244306469,-0.0845406016329364,0.421778673103571
"VIGex_Hernando-Calvo",0.23363349224323,-0.221438687315538,-0.191035426430793,0.548461972388667,-0.111110040116538,0.514372625723859,-0.000141811815352527,0.759196055976847,0.127210496292069,-0.339703303881664,-0.225372929935767,-0.665612727631028,-0.101422920232745,0.273514737061241,0.185223862046547,-0.414848051625861,-0.424718869491051,-0.408471092706078,-0.145486632133194,0.552275356355054,-0.411865373645167,-0.456197666395007,-0.717754971679954,0.1206745392352,-0.480843682675935,-0.665502383920312,0.248508632480539,0.416693550874945,0.6313630385094,-0.260632923527481,0.412497712222427,-0.494175631690198,-0.19722099986041,0.543832128877932,0.111977015101065,0.111935212551741,-0.378721438209159,-0.439151393152954,0.233319712332892,0.554968745620096,0.329805094645963,0.74339962938028,0.297264615388104,0.48256003178506,-0.627824577414152
