"","P8","P9","P10","P11","P15","P16","P18","P19","P22","P28","P30","P32","P33","P36","P38","P40","P42","P43","P45","P47","P51","P54","P61","P65","P68","P72","P73","P76","P89","P90","P91","P98","P99","P100","P101","P102","P106","P113","P114","P116","P117","P120","P123","P127","P128"
"PAX6",-3.97709959788992,-0.747342135805883,-7.15842936260448,-9.96578428466209,1.46555660995833,-1.6497290757716,-6.38082178394093,-2.84892052697119,-0.983361057886211,2.21893612133568,-3.07704103576383,0.541316585366524,1.54186171858325,1.52466550921744,-0.833670182079369,0.735088870478176,-4.82010682946645,-0.441830345165388,-9.96578428466209,-1.30009306762512,-3.36141638476834,-6.27648512412619,0.621711977149024,3.43873198157059,0.133563525741106,2.04344950069548,-0.599243496816749,-9.96578428466209,-5.9040080870754,0.5219552794342,1.24598236099132,-9.96578428466209,-1.63218165639381,0.672199019115766,-2.82725648323981,-9.96578428466209,-1.00115461794149,-9.96578428466209,-9.96578428466209,0.919912088677308,-5.82828076091215,-0.863546090731349,-9.96578428466209,-5.53282487738598,1.45512333788168
"SELE",0.484808396765306,-2.68594159114174,-2.9235777245414,1.30164617259824,0.588036971870606,0.840604223354095,1.04809665327294,0.990446651887789,-2.42895427961403,-0.123433941248279,1.23444000625289,-1.72642443438462,-1.39251580698611,-1.17104352358234,-2.12029423371771,0.0896337361068953,0.442970027927347,0.246468895028775,-3.52284078881336,-6.14816102715066,-0.27805868731534,-1.86407118447359,0.255440304865444,1.8011586560937,-2.93566895375402,0.147306698780294,0.00662118012237996,0.0949116470254667,2.28841762731172,0.877587213370977,-2.40812912993667,-0.382325374531319,1.07189993156563,-0.0600964361352257,-1.23073604337123,1.47933405068243,1.5609594583376,0.166458371722533,-0.100360306348953,-0.30721574336599,-0.934841324871453,-0.333334289405402,0.314406507554819,0.877351626449262,1.2677155619517
"FMO3",9.05435441909571,8.1158926260356,1.96845944487652,8.07660345184969,4.07074137122522,8.17367014140142,2.96738997597654,2.85700560261981,8.1556414757491,2.86910150028038,9.06797987331018,3.57849195173753,1.3578897668424,7.51612864127508,5.35826965484756,2.48532377384394,9.11003170365061,6.19339525335683,9.64320610921716,1.66879990883161,6.85951739318366,4.14658191258207,1.94770355605308,2.48364812474766,2.6999957436674,1.48181557361786,4.94936217278193,9.39482900260852,0.231309516072501,7.19166430374513,2.47840237803727,8.25162679125017,3.59478738657447,2.63343121035563,1.40277674067916,8.91867364753557,9.14813639652932,10.1922915813976,9.55946217738706,5.45547189357873,8.88045044378091,5.2645326778853,8.99479183638257,3.55311470811523,0.456701031008205
"ADAM22",1.13178701006254,1.40659108996493,3.2939001403476,2.39185018873307,1.18631038319851,0.864730922314751,-0.677148875624409,3.59254075600195,0.297719672043513,3.2031854917903,0.0371713376446432,-1.74758434096735,3.42572783804503,0.30929262305752,-1.10252721272912,4.55943062891185,-0.735043282035178,-0.869859864663551,-1.06099915493049,0.264836648467779,2.5105315776321,1.73400503372005,-0.802386190308926,2.63594008423949,-0.992804498595796,1.90353965451724,1.04271436944855,-0.79560883707022,1.76744293318947,1.58880456701555,3.97216877789787,-0.565972325336403,4.28936234047694,2.35495986378009,1.80227594976906,0.398021950181199,-0.578844039337777,-2.7553564542606,-0.300270706613329,-0.0470700938301985,0.404031139621825,1.64191590347511,-0.774725070130431,1.7077014726757,3.78546685416768
"CELSR3",2.77787204851205,5.91064632783459,1.33514020631421,4.7419037737257,4.62877359520165,3.25497189983342,4.13081558136981,3.57029290644045,2.05008371679505,2.48735771531155,0.286881147788162,3.37499771426067,1.54991555362196,4.05758890288436,2.45817198959259,3.94110631094643,3.76618169244469,4.84315475948087,-0.337703337663285,3.50889764234444,5.24225569919612,1.25247621413522,1.95445690272856,3.25006718913744,0.851599143235146,2.86364116120201,5.03026544285767,0.606536983314781,1.7486329721913,4.74528036489708,3.52764589705712,3.56346323668308,2.13241232986512,3.45986436224127,5.95524304793676,0.856308489717443,1.00108161572545,-0.148320909130194,0.423739507165316,2.23047971861438,1.72818174924652,0.674460651560259,2.7729835521381,2.0799071303079,4.04488367823976
"MGST1",8.28014856071863,7.86061399683006,5.4595857164684,7.60285546547202,6.71238392752047,8.14410552869248,7.07339717205367,4.68480751904117,8.20545360804799,5.51471563193124,8.70276280531795,4.26889844872166,5.73813010030562,7.12953237553666,5.05218545495162,6.41648510333937,8.18935956065163,5.98193482978074,9.32750795913816,5.80880204355728,6.78918931326922,5.97625135045953,5.13575237395285,4.28509885108823,4.98853018517228,4.27385899249855,7.05582903743023,9.56602663051156,1.83515604896966,7.21364570597267,6.19228294985557,8.26125200892563,3.17339931269124,4.58761102027597,5.48191887783479,9.0317497167232,9.18368599275886,9.45830571333862,9.03708867794413,6.89300901792357,8.85618895081904,6.3660563841247,9.22296946444331,5.24334919124109,6.37855844072257
"PGLYRP1",-4.14050745460722,-4.10531802614492,-4.20556333819558,-2.7102835515137,-9.96578428466209,-2.63039392996816,-1.53533173299656,-1.89754342334927,-4.29053289861183,-4.05409270278975,-3.00694160941885,-4.32192809488736,-4.15328605932852,-2.14432916555963,-2.34300031850596,-9.96578428466209,-2.69525534228137,-9.96578428466209,-9.96578428466209,-9.96578428466209,-4.43284399628921,-2.64385618977472,-2.12154929690334,-2.2351443287453,-4.35107444054688,-1.32337151175703,1.30357619969664,-2.31832585820717,-9.96578428466209,-1.95176381434715,-4.06854385908729,-4.35402172459722,-3.85100083741224,1.276734861875,1.40157585938017,-0.754626037381838,-2.08804003471309,-4.50635266602479,-1.46673568692821,-2.08681377451101,-2.74564783726601,-2.41888982477445,-9.96578428466209,-3.01858570040003,-3.17136841831198
"ST3GAL1",5.0576062307853,4.86206450475824,4.41031396562593,3.99087319610227,4.18798939080267,5.24019600822189,4.67542641866598,5.75426754444174,5.48222874611038,3.8360250997816,5.34804470367629,4.77602500625571,4.02298027351725,5.56386892808343,4.04071712290735,5.15146919750308,5.4424923758411,6.01392670604292,5.7974021416314,5.30563497149087,3.50187220714302,4.44693770922804,4.77822434921683,3.48994106042539,4.81347851410877,4.74643638998839,3.43839931960922,5.0360900712219,4.23106369991227,4.56638897861117,4.58723895965856,4.85790139596394,3.39891124856503,4.75858567547363,4.31437750253786,5.22873789731136,4.58773101936449,5.39345395608107,5.73804360585258,4.45616217987322,5.76649975625758,4.03033607837096,5.57615325422844,4.24846652509717,5.30148156218526
"IL32",8.1044273496394,5.7070001393712,7.19408409641703,8.64621811112314,7.06646919365316,8.58235088910229,6.63990211983133,8.56041308786331,7.46891967856731,7.23061420894255,7.97306993374585,7.23439497689742,7.17987924084323,9.04401864190573,7.03968895255134,7.19530625412193,6.04015161027452,7.66666429052901,5.47747657954945,6.88106867494504,7.77990513735453,7.96821634862237,8.48696008322463,6.99486592688349,6.4708621994137,7.12491431756863,8.4839322359343,7.73336044222469,7.1982407168098,7.99540084918406,7.86396260248254,7.22944468431279,6.8251775936497,7.32182079045326,8.28156426609246,7.73358821723341,8.47911331806544,6.28790811113447,7.63922565026539,7.62478522264823,8.8040019151793,7.9136260599563,8.63626136365161,7.62165484062472,8.16202821740207
"TRAF3IP3",3.90546643379942,1.09227510513309,4.48879133622934,3.51999471998846,2.29039491265952,3.30882682434788,3.39371821768534,4.8942260157649,3.3268536939456,2.98870286234323,3.0613960362351,1.2807781923368,5.33324839554842,3.15318922238749,1.97771953500355,3.11653110953612,3.18173865968866,3.05576831410842,1.70642003930195,2.17344728605727,2.02009322130714,2.76708269118801,1.99178938592711,4.28402545303049,1.49707580554596,2.55306554404561,3.47395571393964,3.5565888204595,7.53134402794315,2.6479591454117,2.95227764687353,2.65839430776633,3.70540292012973,5.31292287836831,4.68038624960939,4.44291696328216,3.37802601916739,1.62484954448937,3.0668985952063,2.38909868590433,4.1961427514204,4.49257746795656,2.26354526986728,5.44584917363918,1.17024556472346
"STAB1",6.95146657051602,6.15981887418667,7.99012212155692,6.85905763976228,6.48231749819825,7.67240483292563,7.3372704391875,7.96656024587923,7.15648560917279,7.47329094053098,8.08486949513992,6.01812894659562,7.91614519256308,6.42576307932763,6.45071308999465,7.21722683800298,7.97594080180109,7.83945765488682,7.59664076083585,5.53174949576316,6.67122117930259,6.77554444035058,5.63942319769691,7.45423348136856,5.53385297941357,7.12587526563287,6.61639739879681,7.26265771557267,6.45340728224752,7.78397779536011,6.76090752720204,7.03642530653157,7.68337153065545,6.90889214813385,5.30273944060537,7.41255883867192,7.78261758853729,7.30712702143016,8.05092554112424,6.36179818135764,7.75468978596219,6.37642757455583,7.23870471227125,7.34085775625764,7.16432671591568
"CD4",4.97190676849056,3.65473339820762,3.89325541242708,4.21387604338294,3.82471694557467,4.64337713549374,3.94916137137824,5.51233751839476,4.9981503618012,3.56072718065183,4.22626960219251,2.83661090837394,5.00036513597165,3.86630466902936,2.28986396784192,3.7819891158647,4.25900878499395,4.13473022965515,5.1442952293664,3.46936505370484,3.54975540952626,4.65638195721104,3.15304326217752,3.74332107335224,2.38964940644272,2.40884770162469,3.55499397722734,4.3796278927416,5.04634699303869,4.77069692505242,3.7087721429693,4.43175666019445,4.1396904992525,4.65452146754953,3.99160800839316,5.42242812814061,4.75082621506119,5.69857966250661,5.52643820450955,3.98906632568652,4.91823833154026,5.64055152153741,5.1267498950847,5.13405250596326,2.76754886960256
"BTK",6.33411950884117,3.89508930387733,6.30990557418363,5.12400547789989,4.83454436800058,5.63771166947682,4.83584830046613,6.21881022284274,6.10151981757479,4.81612862912362,5.29176193344353,3.9293270644904,6.51891275841658,4.95950124739996,3.83201907221535,5.25479431946327,5.34581859004426,5.64635853695625,4.11251665697378,4.34558088775084,4.4118532961783,4.97922967868439,4.58737099215127,5.86721200965918,3.8426269120303,4.79714271076559,4.91095326994156,5.06295060882281,8.68001801889659,5.36447087979898,4.99570158518629,5.22771797528526,5.89149695806741,6.55458731689486,5.77988216205237,5.88466873535937,5.53896954192452,4.86647282971585,5.06374452172678,6.00056118937755,5.45292483969571,7.63843736211526,5.38887145242304,7.6009298067716,4.19633950384768
"FYN",7.52597957972264,7.02137312038988,8.46124696024748,6.90137860229318,7.17445136222271,7.47410907969675,7.36901186188518,8.34819434683076,7.27897068573895,8.22512354847717,7.16587175188459,6.15837944449248,8.77016931141897,7.35404216563776,6.16391731074054,8.53033220076349,7.167358931394,6.90070623131214,6.82994467109771,6.61061000898301,7.1380259962275,7.92062856397212,6.21887220501228,7.90795599308722,7.31939394071931,8.06315560100281,7.86684246702834,6.91828485102429,9.47923217828649,7.53567274354442,7.87412192764892,7.48085077484337,8.77949645056756,8.06918013482083,7.18927405582342,7.57037260795989,7.19559859124986,6.65835574504289,6.71954078366166,6.98602517893701,7.65588486892018,9.15016158079386,7.0240625388019,9.12424670191667,8.17227297947986
"ANOS1",2.23881742483623,4.3993762017567,3.45941850316822,2.45114515855152,3.01831369789116,1.50913841571771,1.21940088215824,4.66816452029195,2.70285698053256,1.01685284900734,-0.34318332035068,2.34249785574996,4.14966583862121,1.63161652863745,0.744936066812776,4.97087205594559,0.910195388186905,1.61767462546868,-1.33097323449037,2.21110566961748,1.20870452956859,4.73685919148329,4.36948742246889,2.17648235397361,0.683382058486701,2.37214418532473,3.46757946722501,-1.05349370131098,0.100170319756977,2.61475695175561,3.43726769483231,1.28326989423578,4.72569753694686,1.8831906804777,2.68286540228393,0.225398337340744,0.210139457401668,-1.03238868954131,0.0877343818197254,2.41856777929971,0.25241565903265,6.43071012291643,1.12366619645382,4.65873133066095,5.56110919649317
"PLAUR",5.60164898044112,5.18882025175073,7.37018782529858,4.76887241884209,6.07385021773449,5.54373713729488,6.177969600756,6.75058372808104,6.44686163769127,4.48304828506448,1.88162546831311,6.68056909908772,5.37309134746948,5.64033749714535,4.70832520714317,6.05292229626079,5.16264509990949,6.22705367612709,0.0871912495626227,6.50320878441626,7.6705741105227,6.45095882424168,8.17144354019196,5.18568025123186,4.19500893473974,6.54843200066606,6.01789073832325,1.09585692391483,4.32401848752798,5.16567883845528,6.22069561315407,5.85223360563741,5.56070884134695,5.88185546526736,6.83619682694386,1.81438635499538,3.14071322595259,0.714311467931997,1.71703477799731,5.98960907856429,3.22935719612968,5.49719399365058,3.66934430494167,5.65862851846235,6.62566209168286
