"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment"
"OS","SLC20A2","ICB_small_Mariathasan",0.0627080948669939,0.0848030566371994,195,0.459630392976782,"Bladder","PD-1/PD-L1"
"OS","GLE1","ICB_small_Mariathasan",-0.0589357263100849,0.0850826118673353,195,0.488505208665419,"Bladder","PD-1/PD-L1"
"OS","POLE","ICB_small_Mariathasan",-0.0566355689608988,0.0824648499391751,195,0.4922186286986,"Bladder","PD-1/PD-L1"
"OS","RCBTB2","ICB_small_Mariathasan",0.0580902075713019,0.0872794897483791,195,0.50568893502547,"Bladder","PD-1/PD-L1"
"OS","WDR86","ICB_small_Mariathasan",0.0598055209668554,0.0962003944675639,195,0.534154631440936,"Bladder","PD-1/PD-L1"
"OS","F11R","ICB_small_Mariathasan",-0.0529317009699226,0.0908587348581117,195,0.560181858682009,"Bladder","PD-1/PD-L1"
"OS","C14orf132","ICB_small_Mariathasan",-0.0458411314677876,0.0877685725627339,195,0.601464594129523,"Bladder","PD-1/PD-L1"
"OS","GMIP","ICB_small_Mariathasan",-0.0449120566380754,0.0891211159232669,195,0.61430069036798,"Bladder","PD-1/PD-L1"
"OS","ZBED2","ICB_small_Mariathasan",-0.0417130204235451,0.0850544901804863,195,0.623831758319372,"Bladder","PD-1/PD-L1"
"OS","ARHGAP24","ICB_small_Mariathasan",-0.0341324930248488,0.0868425193732276,195,0.694290710267894,"Bladder","PD-1/PD-L1"
"OS","RBFOX2","ICB_small_Mariathasan",0.0294066608521682,0.0856792986806394,195,0.731434610659763,"Bladder","PD-1/PD-L1"
"OS","CRYAB","ICB_small_Mariathasan",0.0288729927337385,0.0865352918185469,195,0.738639387411236,"Bladder","PD-1/PD-L1"
"OS","DLG4","ICB_small_Mariathasan",-0.0205084563584431,0.0908583584660967,195,0.821419992024573,"Bladder","PD-1/PD-L1"
"OS","IQUB","ICB_small_Mariathasan",0.0183705047862804,0.0910043706717391,195,0.840023059347212,"Bladder","PD-1/PD-L1"
