"","Pt1","Pt2","Pt39","Pt82","Pt49","Pt85","Pt101","Pt47","Pt52","Pt67","Pt79","Pt98","Pt65","Pt90","Pt103","Pt17","Pt38","Pt48","Pt36","Pt46","Pt26","Pt106","Pt34"
"IPRES_Hugo",-0.0693417160223206,0.157427470051843,0.128290693898637,0.0811280869257474,0.259060610978066,0.19439037445378,-0.0708834803878539,0.305935103760042,0.19439363820716,0.120908894241317,0.044629522927989,0.0316428237313711,0.219537821371134,0.229104507428116,0.175663586685652,0.106116407138035,0.153688429310916,0.184932967140062,0.370262489866714,0.267049385348976,0.0304755896609133,0.297893904067112,0.116130244584796
"IPS_Charoentong",-1.0199851379686,-0.651338092781744,0.169891672273842,0.0210301057078786,-0.15590685164986,-0.186841855463715,0.596192338738251,0.445641346425028,1.05972079862657,2.15259778489189,2.15786222879906,-0.341173985569969,0.270216422382909,-0.578296676709188,0.28906611184157,-0.711251169669848,-0.353095925028565,-0.570836576780535,-2.03189493094386,-1.01400348082605,1.10005016196083,0.494507317541151,-1.14215160579705
"IPSOV_Shen",0.246224538095821,0.120737279050399,0.066473918775123,0.0901162535869982,0.0659260846864746,0.0698273890802828,0.266313716980093,0.153886123725394,0.194351513689306,0.170914937693464,0.160142007319546,0.0731887801502494,0.187657012277114,0.123567853104572,0.00692546069457301,0.0718230893511257,0.113069067758707,0.170166717411461,0.101700546310276,0.0599709813195263,0.200108025147161,0.0153611358527585,0.142959369809522
"IRG_Ayers",0.842300152855667,0.755804842381301,-2.28813712335592,0.11455235473272,1.03988077057111,-1.42888887085982,1.41628422451926,0.305426973978437,-0.107468646734506,-0.439610711035112,0.0842417217819084,-0.646114325879672,0.624970565637318,0.42936440055521,0.447858489671538,-1.47723793976988,-0.857107953921267,-0.0374724360274455,-0.502932596749463,0.57387927810719,-0.231222784319043,0.318913735636828,1.06271587822363
"M1_Hwang",0.274440822329909,0.336807047237962,-0.450076462991245,-0.13687598175181,0.339590363439959,0.11121639788582,0.549923537008755,0.241393804826117,-0.0718494306128166,0.196954652094116,0.176146721683811,0.0778514413233874,0.242979583605354,-0.0315356036445607,0.105120294161268,-0.335479756790316,-0.357925455897437,0.0485211352584924,-0.0587726598510442,0.168692090145551,0.0994143503290151,-0.0289901674429978,0.304840296342917
"MHC-I_Liu",-0.0356641102274805,0.232704476559767,-0.580830321065038,0.0879294625983323,0.388833555909236,0.0322185172248815,0.352855203656227,0.0563904373291101,-0.326042425439631,0.078542695665008,0.419169678934962,-0.387454811718964,0.225303929702163,-0.0193018228478019,0.232643978239972,-0.279261276917155,-0.180478278340594,-0.0353786776714402,-0.285787629513231,0.187699775495105,0.0372235918242111,0.324121793442677,0.385630749501815
"MHC-II_Liu",0.12144549903742,0.114190265362135,-0.413702797378596,0.201136157000281,0.227548101969905,-0.25527392753823,0.31480160232346,-0.113295305047234,-0.258957084049855,-0.027158633613348,0.307325771552839,-0.0312747845251774,0.0165691424601589,0.134065384327023,0.548512245279951,-0.428425746157007,-0.274790910997056,-0.0115855335426424,-0.165583746958953,0.437895967821312,-0.195687296348322,-0.183910351452679,0.571574253842993
"PassON_Du",0.111677649442105,-0.021254819961092,-0.230786835768826,0.204314149457049,0.0416002096982431,0.00810523171437107,0.167282898995771,-0.142689288288093,0.172470749104579,0.23468659879337,0.122753141734248,0.0712417141209565,-0.0247529895874406,-0.033983075219754,0.155532025667429,-0.0501030127255558,-0.0371724659314507,0.38343187543502,-0.103493426569174,0.185560988531767,-0.0107752033314342,-0.0670319486850299,0.220984546459478
"PDL1_Nishino",0.693913908199443,0.776167910032291,-0.611428571428547,0.581988120406725,0.728000000000004,-0.55542857142855,0.658285714285721,-0.677935009196782,-0.627999999999976,-0.323085063085055,-0.177768194070067,0.0742857142857063,0.236180039138943,0.346285714285709,0.392808275686997,-0.41461739889438,-0.447428571428556,-0.152071928071914,-0.596366643519954,0.51052062025734,-0.418107794500946,-0.399766966222495,0.777714285714289
"PredictIO_Bareche",0.989634019856215,0.601850428738518,-0.759672940913043,0.24990893580418,0.932883342624509,-0.593828498967612,1.0363028743886,-0.560356805866769,-0.864817842046194,0.0554910188258968,-0.310698277619062,-0.257146316432359,0.472534266157891,0.0385688920712014,0.186580020503055,-0.829897762801528,-0.187394339071012,-0.127069138435842,-0.588626137553622,0.358251957521828,-0.151864290190209,0.0396528783861879,1.02164489654148
"Teff_McDermott",0.701718586337371,0.542932303906258,-0.359203867098174,-0.0240274599542398,0.72196796338672,-0.455953228042667,0.566933638443931,-0.630362021733719,-0.776315789473741,0.0829519450800913,-0.119833265896216,0.093821510297485,-0.069794050343259,0.171085074595844,0.19232258130186,-0.434820410382219,-0.297479272794196,0.00858123569793423,-0.699084668192272,0.256610056142563,0.585938566122153,-0.403019690837218,0.808924485125852
"Teff-IFNG_Fehrenbacher",0.683945854161003,0.575080022058958,-0.435030293750929,-0.173577711088591,0.847341440244184,-0.497281648529445,0.677363896848143,-0.53657391379782,-0.637249283667578,0.181640857127727,-0.259836933439387,0.0275071633237851,0.496306908627837,0.32251087320747,0.558653428883952,-0.813860307242529,-0.352141366430221,0.0166189111747889,-0.730659025787919,0.0762177650429751,0.364460590842133,-0.00597471438909569,0.681948424068776
"TIS_Damotte",0.517756436724958,0.617417376808562,-0.737696601684976,0.10095938784854,0.74050683126898,-0.600401390384106,0.652274035693719,-0.504239452225401,-0.605290860551477,-0.0823258491652258,0.0155440414507785,-0.313477900669665,0.398920022994529,0.0800230282095567,0.585550746197808,-0.536508938742907,-0.423319694027886,0.119346408774833,-0.66803542729565,0.413573909844936,0.151645392957037,-0.00831589584166989,0.785253806481083
"TUMOR-VASCULATURE-UP_Lu",-0.407118266426568,0.117501458462098,-0.0023618652627303,-0.190247367345954,0.0986385838886974,-0.0359769000880342,-0.176344664344984,0.239715263257471,-0.100108738395755,-0.0439348524690158,-0.128906148529954,-0.32020257933917,0.0528411579820814,0.299544303441568,0.402853328806753,-0.264919779691374,-0.127561425628027,-0.38678711529965,0.357552105731666,0.435025136612689,-0.173428694791783,0.270299473798761,-0.106887272863721
"VIGex_Hernando-Calvo",0.738602083844147,0.666475315729036,-0.64463451191484,0.113473862497014,0.69961262044375,-0.617517764064073,0.662456946039033,-0.418062178139894,-0.617929027808303,0.153624497167725,-0.254879448909284,0.00269440095682422,0.426097953225297,0.527144249941593,0.538093027215983,-0.679941800296633,-0.527022522481113,-0.0585533869115888,-0.688863375430571,0.0763490241102207,-0.181400688863366,0.164473678662325,0.69575200918484
