"","Patient102","Patient105","Patient106","Patient107","Patient108","Patient112","Patient116","Patient125","Patient126","Patient127","Patient130","Patient131","Patient132","Patient133","Patient134","Patient135","Patient137","Patient140","Patient141","Patient142","Patient143","Patient144","Patient145","Patient146","Patient147","Patient148","Patient149","Patient14","Patient150","Patient154","Patient155","Patient156","Patient158","Patient165","Patient166","Patient167","Patient168","Patient169","Patient170","Patient172","Patient173","Patient179","Patient181","Patient183","Patient184","Patient185","Patient188","Patient18","Patient23","Patient36","Patient37","Patient40","Patient47","Patient48","Patient51","Patient67","Patient75","Patient77","Patient78","Patient79","Patient8","Patient96","Patient98","Patient99","Patient9","Patient191","Patient189","Patient200","Patient201","Patient193","Patient196","Patient197","Patient204","Patient205"
"ITGA3",6.87866351339064,3.86847819525667,2.76953399946617,-9.96578428466209,-2.13121235419097,6.68741385657673,5.87014525968419,2.59489416765691,6.66085031738885,7.30147937379195,4.21026110380958,5.13227178121349,5.19533594009825,4.50227659800855,6.00001936762713,6.49866601046823,7.56613168140354,6.09675462564221,6.20727935071993,5.78963619987543,-9.96578428466209,5.51509687032112,6.47024247939226,6.39100456128451,7.27851626388053,3.18498257351467,7.52760649625871,5.81604198404968,5.68625505103487,4.52808596150029,6.08373954187849,4.42140136269422,2.51194317474899,5.18455942712717,8.4748243479915,5.51791465471552,6.23986027371109,4.45831280394115,6.43999140425208,5.2908434164368,5.35036301293135,5.30914508386732,7.25222554920782,5.52284963499725,7.4058682497462,5.8223558538101,2.16703388370938,6.3808268300252,5.51246190628657,5.06703675810805,5.77575320360976,5.38485983901641,3.47229839062238,3.61720512373182,6.38783984038635,1.32718398466154,6.96818535138942,5.42839419518135,8.20440682177082,5.65285116386158,7.67879496139035,4.3067171267516,6.46598638170831,5.42339645180494,7.66455057982027,7.51721717792643,6.11652030507715,7.76709665754591,5.60782708657703,5.87611539324418,7.40828740436958,3.80618542451415,5.49144985504719,6.63020856261936
"GDE1",3.32583769425191,4.43006666097588,3.35274956009507,-9.96578428466209,0.366073673369362,2.60949817519119,3.67650540565574,3.06386027598664,3.61409572598319,3.97620289891997,3.57054962506664,5.42241781927873,3.87770914828055,3.79013831391153,3.82531331154981,4.82053962448428,3.39075874728041,3.8988297469784,4.0606399930088,3.36751690686092,6.52296064997576,5.53810419062055,3.87827351539076,3.01157761389215,3.36959403333236,3.40735233251366,3.78326672833381,4.66425853488436,4.84819568235627,3.89827344057366,4.0658825087537,3.97839732100072,3.48640653146015,4.04204045183926,4.0964394057719,3.83616014452656,3.72195976731403,4.28609149884144,3.57589499268704,3.98387247574684,4.97026450688816,2.18062896326669,3.71348624761863,2.97433547006469,3.82211115017078,3.81885181417487,2.73171443442528,3.22857771859932,2.67269699352038,3.46286151212824,3.9309737974326,3.95073606578304,3.96986824064583,3.58352477465122,2.2092764917856,3.99412409075034,2.16045936568309,4.11649986274032,3.2363325880375,3.75517939589356,3.95392824001377,0.763173993833816,4.01033965334725,3.80236995685904,3.81597993014247,3.43595428778568,3.89204777286747,3.9561126536608,3.60668338961742,3.54015351429674,3.89331108704669,3.89036066582871,3.27184227994397,3.33515371887978
"TMEM132A",2.10696434320775,2.39916765695513,-0.264567383120064,-9.96578428466209,-9.96578428466209,4.32344847695925,2.41735684290446,1.34678565038594,3.45798998928261,4.39977908768525,4.14144287919742,2.82954229942733,3.25464352213654,1.86095823862877,4.25204254418177,4.96304646664025,2.72254890250519,2.86759274325028,1.41409454021736,0.537746553995431,-9.96578428466209,2.09101385682263,2.10580649609479,2.12397098515381,2.21743375104959,0.692384963770489,2.45532715723174,2.47557788935534,-0.17012978640661,0.675216626643824,1.6877326423685,3.45364612530752,5.13213157962449,1.20948756341589,2.80329742320745,3.44762607832455,3.35041899926513,2.14468269325793,4.97413404726557,1.83408241948413,3.66757133728022,3.03788197763652,2.117919139605,-0.654053286784917,3.10215431599158,3.44065762328669,4.8485867198695,2.34976623596671,3.51738405896051,0.260843374015036,3.16254823734922,0.976846653542236,4.29728061636911,1.02169524921142,0.809608290619171,2.48733087003566,3.64294656269339,2.21294321615101,4.78314104464368,3.45836669024488,2.07732526526308,3.73484624295363,2.36205562578732,2.62766620007416,4.93161999393554,3.63980905361285,2.30727960765712,5.02140166868778,7.75912948570885,2.88440578745975,3.53103636061678,1.47639329276686,3.04809236575594,3.15509110759075
"TNFRSF12A",4.4684025732761,-2.20178377934335,-0.808093792078752,5.37818906696125,-9.96578428466209,3.27886918411318,1.36565206864777,0.277987258169979,3.38616394674978,3.70630096732102,0.524126044082039,3.1175377905806,2.48231208502202,2.73123714536619,3.0655178774519,2.57011392086516,5.29689405555581,3.72144615082009,4.72103630220434,-0.759461550368219,-9.96578428466209,2.77717287639058,2.63151183591723,2.47490483290612,4.05973179486916,-0.00749687289182249,5.88900167812935,2.89055053995852,1.58163526465125,0.675216626643824,2.99197713528061,3.42507960673043,1.04607106119423,1.84993577439705,3.97573290037452,2.92056597154158,2.1616822990747,1.88171353748057,1.53825748604637,-0.412328519642883,3.39205714347766,2.97077614666933,3.41498803902639,3.30871652787936,5.81813929824071,2.01461707261622,0.98846978391168,2.52823419298549,2.64355526545539,0.692248182605635,4.80226325083651,2.39862007747115,0.620952268585057,0.350739020295353,2.51492466038464,-1.86251336750118,5.39344141890163,2.44003134033853,6.04865061450082,2.56050095186625,3.17025304968221,1.6725785335406,1.78633299025243,3.73208379773726,3.32434556726164,4.77062596539491,3.93177762823575,3.70036951240635,5.2087270204873,2.70268158206462,4.32693905841537,2.05771993063218,3.85951594040475,4.83279104671971
"CCL26",-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-3.38791051936784,-9.96578428466209,-1.52974919500352,-9.96578428466209,-9.96578428466209,-9.96578428466209,-1.13104154044935,-9.96578428466209,-3.94838253219861,-9.96578428466209,-9.96578428466209,-2.33476195683423,1.07582143475509,-0.0644027394851735,-9.96578428466209,-1.27994156770705,-1.29509792892942,-9.96578428466209,-0.136384847872434,-9.96578428466209,1.17191156935048,-2.90614359634113,-9.96578428466209,-0.408659644092084,-2.94541538634623,-1.51434395674406,-9.96578428466209,-1.60549928091041,-0.126071310376532,-4.87583493373765,-1.90098668110088,-1.30579053428096,-2.81661190908414,1.81711412942305,-3.3547961002315,-9.96578428466209,-2.02221844371856,-9.96578428466209,-9.96578428466209,-9.96578428466209,-2.27375287139914,-9.96578428466209,-2.47789913228995,-0.640812784279492,2.25998553728331,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-2.73194775605823,-0.125993565138701,-0.873537947057271,-3.6856915785635,-4.25427229010077,-3.92000083136463,-1.13316503429546,-4.14980546834382,-3.7667987156883,0.0528788057992287,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209
"USH1C",-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,4.60437013275692,1.91673775477802,-2.31725786596211,-0.292900891490822,-9.96578428466209,-5.88306805224724,-9.96578428466209,-4.19737550810424,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-1.92116718250282,-9.96578428466209,-9.96578428466209,-9.96578428466209,-4.17623431972039,-9.96578428466209,-9.96578428466209,1.60520785732027,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-2.94345317839076,-9.96578428466209,-9.96578428466209,-9.96578428466209,-1.92959659922847,-9.96578428466209,-4.70212661009284,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-1.40146405807862,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-4.76035384820474,-1.14861602657986,-9.96578428466209,-9.96578428466209,-2.71014153531747,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,2.34506184869578,-9.96578428466209,-9.96578428466209,-2.87750452431646,-2.63408247898461,-9.96578428466209,-9.96578428466209
"SCIN",0.872039807633729,1.91088859770127,8.89003747812455,8.05979952207498,3.13563618262322,0.0257171629078481,7.8782644311066,0.172724395318248,1.3822405741369,5.11651599265609,5.76803600705474,8.16478489823777,1.27667480823117,4.97438883542588,0.439626988210086,1.81155245481974,3.30223077821949,5.16081382639154,1.94545093676956,4.64686355105409,-9.96578428466209,3.41712566941809,2.43610008963491,1.08046805862995,-0.392416296815766,1.7029902830961,2.59748247992174,1.62778847897169,3.06221595751399,1.10029176955342,1.27284441313416,0.759221637486013,0.120700313970427,2.07227102168149,0.0436787428116709,4.89500130610525,2.87718765381893,0.882104975857733,4.96765022045149,3.49810194769429,5.8507718067453,5.36900717296399,2.8933493545307,0.731566971872245,3.56486478163755,3.62581157553941,-0.693448934952018,-0.683821333354995,0.0300281930883985,1.83377881785499,0.926706052388938,3.15896727784062,1.19934576455363,6.00889882134567,4.38789152444207,5.52787863601344,3.59780807771129,4.01150305907308,2.02690841902306,6.27181417616237,1.01515589320081,1.49979953434574,7.00564239128046,6.93268104350982,0.410404056275436,4.81091180597863,6.75989486124371,2.57044088774038,-9.96578428466209,1.05679058179287,1.89734372116551,0.784036470577433,1.6236335318833,6.16481831042769
"ADIPOR2",4.64967711120943,5.62052297224606,4.97405873277768,-9.96578428466209,4.147937125708,5.12267359682638,4.61655732412209,3.21466805214754,5.37081710731228,5.20466367576906,5.87128509364499,5.38338780722909,5.05670293619492,4.83911448817013,5.40370215025731,5.52266768460836,4.13354555200959,4.88319801689321,6.32743961726183,4.77482141970827,-9.96578428466209,6.04087179987923,4.81784218530678,4.71153429762291,4.10827278431076,5.77046967565476,4.9469639472547,5.03238552023924,4.74052404607844,5.66010203721702,4.44863608401148,5.0027212174514,5.03827993913883,5.40446844597966,4.67007158671222,3.98212972943663,5.1688258891293,4.99684439393591,4.8915984760322,4.40031199592569,4.81281416471165,3.31022402609613,5.80861661298769,5.6474842546556,3.87877624517918,4.2852781492782,4.36449080328164,5.17882807487499,4.26709419399371,5.27842606129562,3.7996210410209,5.45899453157234,4.71193357234732,5.44806234212161,6.38932331385387,5.2898090022151,5.03551803552213,5.61852828079332,4.95827550191227,5.76393066410403,6.16857505278332,4.30296518173629,5.50304088468035,5.32518252532628,5.12817764524215,4.72127788823163,4.77127124892353,5.35472405649261,5.22889307852021,4.392655985575,5.52913528284452,5.29434422650651,4.2717675949886,5.12760994722564
"CEACAM21",-0.260874724444183,-0.162426538480506,-0.223973540387565,-9.96578428466209,-9.96578428466209,-0.402635648069882,-1.07811497380844,3.03411652693128,1.6795233873821,0.129433822183161,-0.65902226423737,-9.96578428466209,0.291472339774463,-0.812773532231301,1.33352524381609,-2.33996518763397,2.38105038685372,-0.946956969376832,-3.76312207988374,3.56590329394897,-9.96578428466209,-9.96578428466209,-0.868584755533542,-1.25661310464224,-3.54727094911692,-3.31643175082263,1.59304589217232,-0.214883848085814,0.0289695534117377,-0.283288363198194,-2.36416199654998,0.482561729028066,0.571005679905729,0.907448760387653,-4.1026459433483,0.404190320614899,-0.903683205534264,-0.473367168585466,-1.14554464347591,1.27440273856545,-1.49110122546237,-9.96578428466209,2.00789194003364,2.63215242358575,-9.96578428466209,-9.96578428466209,-1.09324048263288,-2.00227731547857,-1.82874796244618,-1.35557446065777,1.70235002402034,-2.07668156284711,-4.03791557603617,-2.81016356522835,-9.96578428466209,-5.50133326112275,-1.4892496579938,0.233667973962482,1.26669479408853,1.40815306118089,-1.19856105541449,-1.69243753404583,1.46224010341874,0.388331705969665,-1.71148020455108,1.32947995126717,-1.09742545388412,0.717624215818442,-9.96578428466209,-0.050932233921833,-1.0486569965643,-2.3139466899081,0.687626416190975,1.68653347469872
"CD79B",0.212572362250876,-9.96578428466209,5.31094784499767,-9.96578428466209,-9.96578428466209,1.08552079262213,2.75699255794686,4.06082690155643,1.49901119233945,1.47508378419078,0.652773714789993,-9.96578428466209,4.31837976868594,1.50007349392845,3.14047120951982,-1.56540425144071,3.30743854218552,-9.96578428466209,-9.96578428466209,0.804517533780421,-9.96578428466209,-9.96578428466209,-0.177710895250704,-1.25661310464224,-3.54727094911692,0.917815439812829,4.64438155843049,2.64801585814716,-0.224515138613873,2.05317216075423,0.436812179327722,4.20112771105477,1.02054844538938,0.935179100520826,-1.21739745335441,3.68119693953545,4.30613776908895,0.643733605089443,-0.753987342083745,3.56823168975821,0.196412714462697,0.472399699733925,1.53312281260544,-9.96578428466209,-9.96578428466209,-0.199810744226661,-0.452799810398061,0.899595319803318,-1.2897819913408,-2.16016315485593,4.34167302651035,-2.65860436593315,-1.12007149918693,3.18359317066036,-9.96578428466209,-2.3906983107113,1.07216531614941,3.74810435053875,1.08332995235648,3.49520014957594,-1.19856105541449,2.94693538608554,2.32506870722426,3.16456186953491,-1.00282540651265,2.02113894783363,2.02453465097617,1.29132760127958,0.248377190359286,1.30570817971027,-2.87750452431646,-4.60746170708181,0.611053991900648,1.30584707987701
