"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","TUBA1C","Riaz__Melanoma__PD-(L)1",-0.39,0.554,16,0.481315572516123,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","NFKBID","Riaz__Melanoma__PD-(L)1",0.11,0.648,16,0.865317742558927,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CXCL10","Riaz__Melanoma__PD-(L)1",-0.274,0.57,16,0.630678686201599,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","GPR183","Riaz__Melanoma__PD-(L)1",0.04,0.516,16,0.938079787890115,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CXCR6","Riaz__Melanoma__PD-(L)1",-0.23,0.578,16,0.690977291337105,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CMKLR1","Riaz__Melanoma__PD-(L)1",0.096,0.64,16,0.880496707709641,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","TGIF1","Riaz__Melanoma__PD-(L)1",0.109,0.498,16,0.826042235471439,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","PER1","Riaz__Melanoma__PD-(L)1",-0.453,0.665,16,0.495693091794427,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CIITA","Riaz__Melanoma__PD-(L)1",-0.148,0.693,16,0.831107262473542,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","PRF1","Riaz__Melanoma__PD-(L)1",-0.861,0.741,16,0.245240670923243,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","TIGIT","Riaz__Melanoma__PD-(L)1",-0.826,0.743,16,0.266503348171734,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","TENT5C","Riaz__Melanoma__PD-(L)1",0.341,0.56,16,0.54351745906205,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","PDCD1","Riaz__Melanoma__PD-(L)1",-0.911,0.815,16,0.26399559116747,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","HLA.DRB1","Riaz__Melanoma__PD-(L)1",0.041,0.554,16,0.941252497187366,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","TSC22D2","Riaz__Melanoma__PD-(L)1",0.124,0.518,16,0.811164809878997,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","HLA.DQA1","Riaz__Melanoma__PD-(L)1",-0.11,0.557,16,0.842866139181918,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","ZNF165","Riaz__Melanoma__PD-(L)1",1.238,0.741,16,0.0945618221297004,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","PDCD1LG2","Riaz__Melanoma__PD-(L)1",0.258,0.516,16,0.616762183718764,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CD3E","Riaz__Melanoma__PD-(L)1",-0.52,0.609,16,0.392647534185065,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","HLA.DRA","Riaz__Melanoma__PD-(L)1",0.049,0.564,16,0.930831519304246,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","HLA.E","Riaz__Melanoma__PD-(L)1",0.252,0.523,16,0.629651922252052,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","PSMB10","Riaz__Melanoma__PD-(L)1",0.098,0.63,16,0.876761001027654,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","SIGLEC14","Riaz__Melanoma__PD-(L)1",-0.027,0.635,16,0.965716603893079,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CCL5","Riaz__Melanoma__PD-(L)1",-0.241,0.594,16,0.684630299720317,"Melanoma","PD-(L)1",0.99444103781123
