"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","CXCL13","Braun__Kidney__PD-(L)1",-0.029,0.192,142,0.881406253614293,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","MS4A1","Braun__Kidney__PD-(L)1",-0.117,0.201,142,0.56096178841419,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","CCR5","Braun__Kidney__PD-(L)1",0.058,0.2,142,0.772823066604961,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","REL","Braun__Kidney__PD-(L)1",0.012,0.186,142,0.948034082094323,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","CTLA4","Braun__Kidney__PD-(L)1",0.081,0.19,142,0.670264697374828,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","DNAJB14","Braun__Kidney__PD-(L)1",0.061,0.188,142,0.747156037473286,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","TRA2A","Braun__Kidney__PD-(L)1",0.308,0.19,142,0.104983743366486,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","TAGAP","Braun__Kidney__PD-(L)1",-0.291,0.213,142,0.172443806462591,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","CD3D","Braun__Kidney__PD-(L)1",0.059,0.197,142,0.765068212413021,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","TUBA1A","Braun__Kidney__PD-(L)1",0.2,0.194,142,0.301447059085468,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","TUBA1C","Braun__Kidney__PD-(L)1",0.341,0.198,142,0.0849366859107705,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","NFKBID","Braun__Kidney__PD-(L)1",-0.064,0.191,142,0.738886892588159,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","CXCL10","Braun__Kidney__PD-(L)1",0.001,0.199,142,0.994517529946349,"Kidney","PD-(L)1",0.995736418523021
"R vs NR","CXCL11","Braun__Kidney__PD-(L)1",-0.148,0.205,142,0.470612120375043,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","GPR183","Braun__Kidney__PD-(L)1",-0.166,0.202,142,0.410731659725897,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","CXCR6","Braun__Kidney__PD-(L)1",-0.047,0.189,142,0.803044525096108,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","CMKLR1","Braun__Kidney__PD-(L)1",0.183,0.174,142,0.295092647514455,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","TGIF1","Braun__Kidney__PD-(L)1",0.359,0.212,142,0.0902689663537502,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","PER1","Braun__Kidney__PD-(L)1",-0.182,0.198,142,0.357439794442334,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","CIITA","Braun__Kidney__PD-(L)1",-0.07,0.187,142,0.705848680266332,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","PRF1","Braun__Kidney__PD-(L)1",0.001,0.206,142,0.995736418523021,"Kidney","PD-(L)1",0.995736418523021
"R vs NR","TIGIT","Braun__Kidney__PD-(L)1",0.117,0.196,142,0.550035895856475,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","PDCD1","Braun__Kidney__PD-(L)1",-0.089,0.198,142,0.652479114663504,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","HLA.DRB1","Braun__Kidney__PD-(L)1",-0.041,0.197,142,0.836821759197935,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","TSC22D2","Braun__Kidney__PD-(L)1",0.346,0.212,142,0.103206161648593,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","HLA.DQA1","Braun__Kidney__PD-(L)1",0.012,0.185,142,0.947814411927366,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","ZNF165","Braun__Kidney__PD-(L)1",0.281,0.191,142,0.141695840348692,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","PDCD1LG2","Braun__Kidney__PD-(L)1",0.132,0.17,142,0.435328754792619,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","CD3E","Braun__Kidney__PD-(L)1",0.117,0.227,142,0.605067870959731,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","HLA.DRA","Braun__Kidney__PD-(L)1",0.066,0.193,142,0.733405783976185,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","HLA.E","Braun__Kidney__PD-(L)1",-0.036,0.184,142,0.845275031274024,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","PSMB10","Braun__Kidney__PD-(L)1",0.018,0.188,142,0.922298391306783,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","SIGLEC14","Braun__Kidney__PD-(L)1",-0.015,0.214,142,0.944124676583155,"Kidney","PD-(L)1",0.990152127331948
