"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","REL","Snyder__Ureteral__PD-(L)1",0.471,0.562,18,0.401552129362675,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CTLA4","Snyder__Ureteral__PD-(L)1",0.206,0.525,18,0.694589773135571,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","DNAJB14","Snyder__Ureteral__PD-(L)1",-0.211,0.5,18,0.672837245908927,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","TRA2A","Snyder__Ureteral__PD-(L)1",-0.062,0.44,18,0.888540425845195,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","TAGAP","Snyder__Ureteral__PD-(L)1",0.771,0.627,18,0.218931642435438,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CD3D","Snyder__Ureteral__PD-(L)1",-0.006,0.431,18,0.989005696986378,"Ureteral","PD-(L)1",0.994830668687221
"R vs NR","TUBA1A","Snyder__Ureteral__PD-(L)1",0.148,0.449,18,0.741349308780532,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","TUBA1C","Snyder__Ureteral__PD-(L)1",-0.072,0.53,18,0.891306848247314,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","NFKBID","Snyder__Ureteral__PD-(L)1",0.285,0.478,18,0.551099002720281,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CXCL10","Snyder__Ureteral__PD-(L)1",-0.34,0.512,18,0.507180687144662,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","GPR183","Snyder__Ureteral__PD-(L)1",-0.306,0.523,18,0.55856250896956,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CXCR6","Snyder__Ureteral__PD-(L)1",-0.551,0.553,18,0.319372639161219,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CMKLR1","Snyder__Ureteral__PD-(L)1",-0.064,0.42,18,0.878081561745022,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","TGIF1","Snyder__Ureteral__PD-(L)1",-0.158,0.616,18,0.797164833756049,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","PER1","Snyder__Ureteral__PD-(L)1",-0.094,0.527,18,0.858928929857379,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CIITA","Snyder__Ureteral__PD-(L)1",-0.286,0.513,18,0.577550426594703,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","PRF1","Snyder__Ureteral__PD-(L)1",-0.294,0.473,18,0.533760273031744,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","TIGIT","Snyder__Ureteral__PD-(L)1",-0.095,0.534,18,0.858148739535456,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","PDCD1","Snyder__Ureteral__PD-(L)1",-0.225,0.556,18,0.685545465232949,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","TSC22D2","Snyder__Ureteral__PD-(L)1",0.217,0.533,18,0.683133155765102,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","HLA.DQA1","Snyder__Ureteral__PD-(L)1",0.316,0.564,18,0.574877944885807,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","ZNF165","Snyder__Ureteral__PD-(L)1",-0.257,0.457,18,0.57370048810998,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","PDCD1LG2","Snyder__Ureteral__PD-(L)1",-1.048,0.64,18,0.101206427505163,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CD3E","Snyder__Ureteral__PD-(L)1",-0.139,0.55,18,0.800208522044805,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","HLA.E","Snyder__Ureteral__PD-(L)1",0.567,0.607,18,0.349908921565655,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","PSMB10","Snyder__Ureteral__PD-(L)1",-0.295,0.512,18,0.563881248080776,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","SIGLEC14","Snyder__Ureteral__PD-(L)1",0.241,0.444,18,0.588121177675961,"Ureteral","PD-(L)1",0.994149946122005
