"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ZNF331","Kim__Gastric__PD-(L)1",0.254,0.355,31,0.474255240244269,"Gastric","PD-(L)1",0.697011489449911
"R vs NR","ZNF141","Kim__Gastric__PD-(L)1",0.555,0.405,31,0.17022524053563,"Gastric","PD-(L)1",0.419377974378444
"R vs NR","IDO1","Kim__Gastric__PD-(L)1",-1.19,0.477,31,0.0126244303552983,"Gastric","PD-(L)1",0.282383451513822
"R vs NR","DNAJB1","Kim__Gastric__PD-(L)1",-0.22,0.381,31,0.563624514198865,"Gastric","PD-(L)1",0.775857544495463
"R vs NR","KDM6B","Kim__Gastric__PD-(L)1",0.383,0.395,31,0.332569589396544,"Gastric","PD-(L)1",0.576058038776157
"R vs NR","WDR74","Kim__Gastric__PD-(L)1",-0.095,0.364,31,0.793822433961012,"Gastric","PD-(L)1",0.895357861560676
"R vs NR","BTG1","Kim__Gastric__PD-(L)1",0.158,0.362,31,0.662874964602773,"Gastric","PD-(L)1",0.851812403747726
"R vs NR","CEMIP2","Kim__Gastric__PD-(L)1",0.791,0.442,31,0.0733779240750806,"Gastric","PD-(L)1",0.296569109803451
"R vs NR","SKIL","Kim__Gastric__PD-(L)1",0.873,0.456,31,0.0557507010842134,"Gastric","PD-(L)1",0.290948229543149
"R vs NR","SDCBP","Kim__Gastric__PD-(L)1",0.289,0.438,31,0.508619341494188,"Gastric","PD-(L)1",0.715015596013569
"R vs NR","ARHGAP24","Kim__Gastric__PD-(L)1",0.451,0.392,31,0.249530053926224,"Gastric","PD-(L)1",0.521896742218756
"R vs NR","CXCL9","Kim__Gastric__PD-(L)1",-0.952,0.454,31,0.036005136336238,"Gastric","PD-(L)1",0.283643777980824
"R vs NR","CD27","Kim__Gastric__PD-(L)1",-0.295,0.388,31,0.446892865624323,"Gastric","PD-(L)1",0.682011839085522
"R vs NR","VPS37B","Kim__Gastric__PD-(L)1",0.381,0.373,31,0.307167043859319,"Gastric","PD-(L)1",0.572984677968344
"R vs NR","WDR45B","Kim__Gastric__PD-(L)1",0.136,0.357,31,0.703724473668023,"Gastric","PD-(L)1",0.851812403747726
"R vs NR","CALM2","Kim__Gastric__PD-(L)1",-0.027,0.362,31,0.940665967976423,"Gastric","PD-(L)1",0.977664220054156
"R vs NR","GZMA","Kim__Gastric__PD-(L)1",-0.974,0.501,31,0.0520542460670096,"Gastric","PD-(L)1",0.290948229543149
"R vs NR","IL2RG","Kim__Gastric__PD-(L)1",-0.198,0.347,31,0.567895728445133,"Gastric","PD-(L)1",0.775857544495463
